Optimizer,Mean Loss,Std Loss,Mean Time (s)
SGD,7.742487396978544,0.008090221976905182,2628.8971392154695
RMSProp,4.1071584809190714e-10,2.359103868404503e-12,1327.3005834579467
Adam,3.1305705686476525e-09,9.91342344448052e-12,1347.7842809677124
