Optimizer,Mean Loss,Std Loss,Mean Time (s),Initial Loss
SGD,3.3632049442111573,0.0002823992502016455,485.69248723983765,4.1584
RMSProp,2.3341533287637373,0.004815444889254216,290.2327705224355,2.3036
Adam,2.1710904487007667,0.006007777571850146,648.2509452501932,2.2932
